track_id,track_name,duration_ms,track_popularity,explicit,album_name,album_id,album_type,album_total_tracks,release_date,artist_name,artist_id,artist_genres,artist_popularity,artist_followers,danceability,energy,key,key_confidence,loudness,mode,mode_confidence,speechiness,acousticness,instrumentalness,liveness,valence,tempo,tempo_confidence,time_signature,time_signature_confidence,playlist_name
Something in the Orange,3WMj8moIAXJhHsyLaqIIHI,228013,91,False,Something in the Orange,1CmTOKCeyz1aHH04OwvTPv,single,4,2022-04-22,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,classic oklahoma country,87,3128165,0.369,0.192,4,0.23,-12.151,0,0.459,0.04,0.555,8.35e-06,0.0954,0.148,175.212,0.113,3,1.0,Country
Fast Car,1Lo0QY9cvc8sUB2vnIOxDT,265493,88,False,Gettin' Old,5Uly85dJHHDfHQCsyUQ8gw,album,18,2023-03-24,Luke Combs,718COspgdWOnwOFpJHRZHS,contemporary country; country,82,9913044,0.712,0.603,8,0.327,-5.52,1,0.479,0.0262,0.186,0.0,0.115,0.67,97.994,0.176,4,1.0,Country
Die From A Broken Heart,1kFpL1itkwkdhO6kcmNJra,188290,65,False,Die From A Broken Heart,4DPIFHZfh65TPPGem973zy,single,1,2018-10-19,Maddie & Tae,34bhyY8jfKez7uKakMfy4y,contemporary country; country; country road,61,1138829,0.607,0.514,4,0.123,-6.631,1,0.334,0.0323,0.363,0.0,0.258,0.414,75.978,0.111,4,0.996,Country
Tennessee Whiskey,3fqwjXwUGN6vbzIwvyFMhx,293293,86,False,Traveller,7lxHnls3yQNl8B9bILmHj7,album,14,2015-05-04,Chris Stapleton,4YLtscXsxbVgi031ovDDdh,contemporary country; outlaw country,80,6576591,0.392,0.37,9,0.387,-10.888,1,0.498,0.0298,0.205,0.0096,0.0821,0.512,48.718,0.015,4,1.0,Country
Automatic,0B0y2FImat9j9MJTNRZWfW,247826,63,False,Platinum,4ZnIw6llQFlXcFgjMNtrTw,album,16,2014-06-02,Miranda Lambert,66lH4jAE7pqPlOlzUKbwA0,contemporary country; country; country dawn; country road,67,3559622,0.591,0.703,10,1.0,-6.211,1,0.762,0.0256,0.0435,2.34e-06,0.145,0.402,95.993,0.66,4,0.687,Country
Last Night,59uQI0PADDKeE6UZDTJEe8,163854,84,True,3 Songs At A Time Sampler,7fOmdhRrRohTzToL617xkk,single,3,2023-01-31,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,contemporary country,87,8308371,0.517,0.675,6,0.45,-5.382,1,0.612,0.0357,0.459,0.0,0.151,0.518,203.853,0.184,4,0.901,Country
Buy Dirt,69AIpwGNLxr4qS1X5ynx60,167480,84,False,Buy Dirt,2y9DFhTWC7QQJMvygK0TzO,album,8,2021-05-21,Jordan Davis,77kULmXAQ6vWer7IIHdGzI,contemporary country; country road,73,1138495,0.586,0.559,4,0.52,-6.725,1,0.543,0.05,0.639,0.0,0.0872,0.437,177.945,0.516,4,1.0,Country
Beautiful Crazy,2rxQMGVafnNaRaXlRMWPde,193200,84,False,This One's for You Too (Deluxe Edition),53Oa5Bu0UTU8o8qCTaHKoz,album,17,2018-06-01,Luke Combs,718COspgdWOnwOFpJHRZHS,contemporary country; country,82,9913044,0.551,0.402,11,0.801,-7.431,1,0.734,0.0262,0.676,0.0,0.0928,0.382,103.313,0.0,4,1.0,Country
Somebody Like That,4K7wet87HnlWKi0CXWvg1i,198208,66,False,"Love,Heartbreak, & Everything in Between",478FbS6cYoaEYreO0H4YOx,album,12,2020-01-10,Tenille Arts,0gSAxSvAApQc71cTpoXDFu,canadian contemporary country; contemporary country; country pop,52,86554,0.571,0.783,6,0.74,-5.375,1,0.918,0.0473,0.0152,0.0,0.106,0.569,105.015,0.552,4,1.0,Country
Heading South,2Dct3GykKZ58hpWRFfe2Qd,171692,87,True,Heading South,3Ca58JR3vDDMl5i8QKkWzP,single,1,2019-09-30,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,classic oklahoma country,87,3128165,0.68,0.246,4,0.434,-14.112,1,0.438,0.058,0.783,0.0,0.106,0.388,110.23,0.627,4,0.912,Country
Rock and A Hard Place,1TE8AAk9koG0UJco6ZAUfx,207540,83,False,Religiously. The Album.,19DGbjQW4oJmS1TLmr7OH3,album,16,2023-01-11,Bailey Zimmerman,3win9vGIxFfBRag9S63wwf,contemporary country; modern country pop,74,903677,0.582,0.568,1,0.57,-7.3,1,0.61,0.0275,0.577,0.0,0.105,0.394,121.991,0.455,3,0.85,Country
Things A Man Oughta Know,3S0sk6DSTgesXsUSAEHNr5,203373,75,False,Sayin’ What I’m Thinkin’,2WBvIseHSAwsPP4YbNgZXR,album,12,2021-02-19,Lainey Wilson,6tPHARSq45lQ8BSALCfkFC,contemporary country; modern country pop,71,506787,0.659,0.683,3,0.454,-5.623,1,0.54,0.0312,0.513,4.93e-06,0.133,0.397,139.931,0.538,4,0.996,Country
