track_id,track_name,duration_ms,track_popularity,explicit,album_name,album_id,album_type,album_total_tracks,release_date,artist_name,artist_id,artist_genres,artist_popularity,artist_followers,danceability,energy,key,key_confidence,loudness,mode,mode_confidence,speechiness,acousticness,instrumentalness,liveness,valence,tempo,tempo_confidence,time_signature,time_signature_confidence,playlist_name
Lights Go Down,6Q7fxyIXgrbk1bIySqbaij,183460,56,False,LIFTED,6jR7uovSlToKvLXjTrPZSV,album,9,2022-04-08,Hayden James,4csQIMQm6vI2A2SCVDuM2z,aussietronica; gauze pop; house,58,253288,0.893,0.82,3,0.507,-3.958,1,0.348,0.0578,0.00287,0.792,0.051,0.781,123.005,0.836,4,1.0,Discover Weekly
I Can't Help But Feel,4zgGNKt9YQGUQHRu9FgZPM,178780,64,False,Hidden Youth,0p6lFaFEpTcukkXu793jXB,album,14,2022-08-26,Surfaces,4ETSs924pXMzjIeD6E9b4u,bedroom soul,64,912546,0.722,0.705,1,0.387,-4.75,0,0.419,0.0324,0.302,0.0,0.123,0.715,115.005,0.596,4,0.997,Discover Weekly
Slave To Your Love,6XS4mIgpD24d9MMGwLMPvf,152900,35,False,Slave To Your Love,4gc0pu0KQg1UCDrcn8n43s,single,1,2022-02-21,Soneland,628R8bjTnqSiTwQV45t4nY,,15,50,0.732,0.757,10,0.355,-8.879,0,0.351,0.0467,0.236,0.883,0.0781,0.203,115.985,0.933,4,1.0,Discover Weekly
Control,1C26HwnwtIwLlSHJdB2iZw,187364,48,False,Control,3o3OAEZXFVzDavifKXa1aV,single,1,2020-07-10,Moods,14uVJsPC4DByeuD0cq36ez,chillhop; indie soul,46,46354,0.704,0.47,7,0.661,-6.89,0,0.744,0.312,0.057,7.25e-06,0.0891,0.486,59.209,0.156,4,1.0,Discover Weekly
Spiral - jackLNDN Remix,6DwqtA14iC78eXxjD1sDOo,167500,44,False,Spiral (jackLNDN Remix),3fXZyb9K4Py1zRwdyjWeaL,single,2,2022-12-02,Lena Leon,0izKfMblL8LX6Bv2wG3Cy7,,41,2981,0.62,0.678,7,0.569,-9.334,0,0.399,0.0336,0.000536,0.725,0.122,0.0398,122.99,0.7,4,1.0,Discover Weekly
All My Life,5ASjBSzPjNCO2sGUtbXFmk,273871,38,False,Light Places,5k3OoQgNSIK8dt0WhRRKku,album,13,2023-05-12,LP Giobbi,3oKnyRhYWzNsTiss5n4Z1J,house,59,67467,0.655,0.6,7,0.356,-12.435,1,0.546,0.0369,0.1,0.389,0.106,0.229,123.996,0.8,4,0.914,Discover Weekly
The Next Day,4rEKJH0DOdQdGTndQXxx4O,211027,36,False,The Next Day,41Bz0FJfJD2tLwyj9jJp8V,single,1,2022-02-25,Chris Malinchak,5UVzX8pQe6bb5ueNdfViih,nu disco,49,88685,0.813,0.843,9,0.296,-9.735,0,0.215,0.0369,0.00336,0.623,0.104,0.962,123.031,0.906,4,1.0,Discover Weekly
WUTD,6ANAYl6qBnva0Pi5VGJu1R,157588,54,False,WUTD + Vultures,65kV1Vq3t3s7sfqtPRImew,single,2,2019-03-15,Genesis Owusu,1HvH97rzvCH6lfnLlgyfke,australian hip hop,49,117036,0.865,0.41,4,0.811,-10.496,0,0.575,0.0999,0.112,0.00152,0.0271,0.718,103.969,1.0,4,1.0,Discover Weekly
Sometimes,7vApqfnpLqrKeR6VISh0wH,354365,49,False,Love Will Set U Free,2q1yFtPevPCNlp06WDzfFc,album,10,2021-08-06,Monkey Safari,5zovXI5By2gUhdr7EByjLa,deep euro house; melodic house,51,108816,0.717,0.807,9,0.7,-8.038,0,0.598,0.0311,0.404,0.174,0.103,0.627,119.984,0.842,4,1.0,Discover Weekly
Love Song (feat. Glasses),0fD6vPYWty2Jy4VVozWzfp,170868,67,False,33 000 FT.,1DP1CM6GndWiLkYKMudhek,album,15,2018-06-08,Kazy Lambist,41Ue54Vb6iWx2dcdRCM6oH,french indie pop; french indietronica; new french touch,56,110909,0.761,0.436,9,0.595,-11.614,0,0.542,0.0424,0.454,0.264,0.111,0.374,114.01,0.882,4,0.725,Discover Weekly
Roches blanches,3gHqqfGzGlA6AomepHu4zj,156298,60,False,Roches blanches,07eeR01mBl7EOYLPJ1iW3d,single,1,2021-04-30,Mizmo,31sy2Lzz49t83efKMvk3qV,,48,4055,0.735,0.483,2,0.0,-9.437,1,0.0,0.0775,0.326,0.000189,0.135,0.184,117.019,0.867,5,0.567,Discover Weekly
Sunset Sessions,7qDRQg5OEGXoS6s83Nyzyc,129875,62,False,Sunset Sessions,1YHvKKgZfa4AXPLDo6vYDK,single,1,2021-05-12,Tobÿ,3EjoOshzwB9yIH8sLnbQnQ,chill house; saxophone house; tropical house,54,5061,0.494,0.662,1,0.179,-6.326,1,0.459,0.0341,0.57,0.805,0.0947,0.176,115.209,0.732,4,0.565,Discover Weekly
Leave Me Low,7lKqwFU0R8bfxcNylDIc1u,178560,56,False,Leave Me Low,4rYx6lWFqMAEkez2Fi6uJF,single,1,2020-07-22,Griffith Clawson,0tqEbQH9PueuMbPc8EpYPU,,34,45,0.734,0.41,10,0.531,-11.498,1,0.462,0.0406,0.543,0.00175,0.181,0.357,125.033,0.744,4,0.699,Discover Weekly
Just,2u9o4jlbtzqdy2bsBX9FYK,372000,56,False,Just,0vYOAJM94XCdETxlSwFi7Y,single,1,2019-02-15,Amtrac,3ifxHfYz2pqHku0bwx8H5J,melodic house; nu disco,50,95294,0.622,0.855,0,0.678,-7.563,1,0.596,0.0345,0.0498,0.824,0.0914,0.0394,120.001,0.67,4,0.977,Discover Weekly
