track_id,track_name,duration_ms,track_popularity,explicit,album_name,album_id,album_type,album_total_tracks,release_date,artist_name,artist_id,artist_genres,artist_popularity,artist_followers,danceability,energy,key,key_confidence,loudness,mode,mode_confidence,speechiness,acousticness,instrumentalness,liveness,valence,tempo,tempo_confidence,time_signature,time_signature_confidence,playlist_name
Stay High,7LXimIqTYO76Utly8VFABu,188320,68,False,Stay High,3E3JRB0gGzHuc56GB3hUPJ,single,2,2023-11-24,Diplo,5fMUXHkw8R8eOP2RNVYEZX,dance pop; edm; electro house; moombahton; pop dance,76,2579376,0.712,0.82,4,0.846,-6.624,0,0.692,0.0382,0.00226,0.359,0.1,0.322,128.005,0.917,4,0.995,House
Hella Good,1ck6fXDzbKiWKCVSfqxsUB,175757,57,False,Hella Good,7r5MlpWk6gQ2fCRDWjUIzn,single,1,2023-10-06,Niko The Kid,0FPoqGEZFwHQfu5tRPL08X,tech house,40,13213,0.703,0.93,8,0.058,-6.41,1,0.275,0.0589,0.000427,0.0951,0.14,0.597,124.993,1.0,4,1.0,House
Frikitona,5ls4FQAoSlAFPFnaYpeyhn,174375,69,False,Frikitona,5LdsLkZqLq2oUEthzHiR9g,single,1,2023-07-14,Andruss,6HZwb7Zbnvfo8u1sst4QrI,mexican tech house; tech house,51,18249,0.787,0.964,6,0.0,-6.34,0,0.058,0.0639,0.0838,0.176,0.0465,0.719,127.991,0.775,4,1.0,House
Carry Me Higher - 7 Inch Version,7tm4pF2JvKc4GGKSagRuS9,270402,65,False,Carry Me Higher,21q5qrGNBSI1ihI0TT5348,single,5,2023-11-17,The Blessed Madonna,4TvhRzxIL1le2PWCeUqxQw,edm,64,64056,0.85,0.537,6,0.516,-7.84,0,0.676,0.0519,0.00347,0.0839,0.111,0.295,126.968,0.778,4,1.0,House
Smoke In Your Eyes,2Kurh5hEYRgzDzuahjHytQ,391503,60,False,Smoke In Your Eyes,5EEitGHmxCB0XD0rtV3bE7,single,1,2023-12-22,Skepta,2p1fiYHYiXz9qi0JJyxBzN,birmingham grime; grime; instrumental grime; uk hip hop,73,1214200,0.791,0.738,1,0.838,-9.792,1,0.605,0.0426,0.00139,0.821,0.0861,0.412,128.003,0.779,4,1.0,House
Cash For Love,1QCjgRff7EzAtIUlOpWSJV,276495,46,False,Cash For Love,5kEP8s3hsep25m0yEJpfFo,single,1,2024-01-26,Carlita,1GVbOnrND8b3eh2JZ4opw8,,47,23876,0.649,0.872,1,0.555,-8.065,0,0.567,0.0349,0.0111,0.8,0.14,0.912,124.987,0.535,4,1.0,House
RIZZ,3DqOJ2BoddzZpNdty3okJH,200787,68,True,RIZZ,6uH0vo25qVqNveP02Pr4Uc,single,1,2023-11-15,AYYBO,0YVquC9RaJLYFNmlJFzkTV,,53,34994,0.855,0.839,7,0.381,-5.733,1,0.354,0.153,0.0736,0.426,0.32,0.729,127.044,0.885,4,1.0,House
More Baby,02QE4LsAj7DBjMRxolGE8a,175856,72,False,More Baby,1Pei7Y5MNZQvfkDWds5EWa,single,3,2023-09-15,Chris Lake,5Igpc9iLZ3YGtKeYfSrrOE,bass house; edm; electro house; house; melbourne bounce; pop dance; progressive house; tech house,65,307220,0.75,0.87,11,0.176,-7.109,1,0.495,0.055,0.00166,0.607,0.11,0.966,125.996,1.0,4,1.0,House
Sunshine (My Girl),2bI6KAUqXeIXGAEEvup8ri,131250,71,False,Sunshine (My Girl),7AE0HaidGUaRBSmIZmJ8As,single,1,2023-09-01,Wuki,6Se1y4vDcu9fVHLqdj1N3q,,59,106365,0.871,0.765,0,0.529,-4.602,1,0.439,0.116,0.00742,0.000196,0.0953,0.596,128.087,0.85,4,1.0,House
Atmosphere,1aNUSKBe6UMyMk3pEu9ws7,182857,78,False,Atmosphere,3rGYf6tkyIJ4BE2O2k7o0d,single,1,2023-08-11,FISHER,1VJ0briNOlXRtJUAzoUJdt,australian house; house,71,871047,0.762,0.895,8,0.557,-4.562,1,0.512,0.0737,0.00618,0.145,0.203,0.755,125.979,1.0,4,1.0,House
