track_id,track_name,duration_ms,track_popularity,explicit,album_name,album_id,album_type,album_total_tracks,release_date,artist_name,artist_id,artist_genres,artist_popularity,artist_followers,danceability,energy,key,key_confidence,loudness,mode,mode_confidence,speechiness,acousticness,instrumentalness,liveness,valence,tempo,tempo_confidence,time_signature,time_signature_confidence,playlist_name
redrum,52eIcoLUM25zbQupAZYoFh,270697,94,True,american dream,2RRYaYHY7fIIdvFlvgb5vq,album,15,2024-01-12,21 Savage,1URnnhqYAYcrqrcwql10ft,atl hip hop; hip hop; rap,93,16803819,0.624,0.74,2,0.548,-8.445,1,0.556,0.0481,0.00529,0.000224,0.5,0.246,172.089,0.147,4,0.981,Rap
First Person Shooter (feat. J. Cole),7aqfrAY2p9BUSiupwk3svU,247444,90,True,For All The Dogs,4czdORdCWP9umpbhFXK2fW,album,23,2023-10-06,Drake,3TVXtAsR1Inumwj472S9r4,canadian hip hop; canadian pop; hip hop; pop rap; rap,96,84302378,0.47,0.64,2,0.118,-7.779,1,0.158,0.32,0.0277,0.0,0.382,0.248,163.92,0.182,4,1.0,Rap
Surround Sound (feat. 21 Savage & Baby Tate),1udwFobQ1JoOdWPQrp2b6u,229938,94,True,The Forever Story (Extended Version),4rJDCELWL0fjdmN9Gn4f4g,album,16,2022-10-31,JID,6U3ybJ9UHNKEdsH7ktGBZ7,hip hop; pop rap; rap; underground hip hop,79,1566857,0.575,0.56,5,0.0,-7.302,1,0.072,0.478,0.173,0.0,0.257,0.471,75.956,0.068,4,0.966,Rap
Let's Go,5GCU2LJWPzoP8Q6nexs61z,140106,79,True,Glockoma 2 (Deluxe),49vCWZ0yKkRvfetjsYVLnx,album,23,2023-06-23,Key Glock,0RESbWvOMyua0yuyVrztJ5,memphis hip hop; rap; southern hip hop; tennessee hip hop; trap,77,1869826,0.673,0.526,8,0.814,-7.612,1,0.771,0.0677,0.00172,0.0,0.3,0.303,75.505,0.09,4,1.0,Rap
née-nah,2yUzr8Sr6ldG8vmHhZwTnz,220584,89,True,american dream,2RRYaYHY7fIIdvFlvgb5vq,album,15,2024-01-12,21 Savage,1URnnhqYAYcrqrcwql10ft,atl hip hop; hip hop; rap,93,16803819,0.678,0.758,1,0.367,-6.524,1,0.499,0.227,0.00495,0.0,0.57,0.318,165.423,0.432,4,1.0,Rap
Loop Hole (feat. 21 Savage),5gzEL5O1ubbtIHUhLkSMTz,151182,79,True,Tee's Coney Island,2XCjDuNrAObHZrKPhsWvzP,album,16,2023-11-03,Tee Grizzley,6AUl0ykLLpvTktob97x9hO,detroit hip hop; detroit trap; rap; southern hip hop; trap,69,3644229,0.746,0.549,9,0.219,-7.459,1,0.287,0.348,0.00412,1.02e-06,0.331,0.491,164.928,0.517,4,0.872,Rap
GET OFF ME (with Travis Scott),2Adxpr1j5lSihOCsmIfflJ,215240,79,True,INSANO,0tpIUAzCeUkoV4u2r5NrQr,album,21,2024-01-12,Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,hip hop; ohio hip hop; pop rap; rap,82,6851211,0.78,0.41,5,0.103,-8.164,1,0.611,0.0451,0.0185,0.0,0.153,0.0585,121.919,0.455,4,1.0,Rap
all of me,2FoahzOSxJnalPA8aBUme3,198292,87,True,american dream,2RRYaYHY7fIIdvFlvgb5vq,album,15,2024-01-12,21 Savage,1URnnhqYAYcrqrcwql10ft,atl hip hop; hip hop; rap,93,16803819,0.653,0.805,5,0.583,-5.708,0,0.767,0.304,0.12,1.17e-05,0.842,0.791,159.947,0.585,4,0.627,Rap
Mmhmm,1nQaTUDJ7Rc4yOvZmg9Ozr,119015,80,True,Mmhmm,1D3Uf2OkWYQytEbK3NpdMn,single,1,2023-10-06,BigXthaPlug,6qxpnaukVayrQn6ViNvu9I,southern hip hop,75,392188,0.93,0.682,9,0.244,-8.799,1,0.188,0.331,0.028,0.0,0.129,0.962,126.003,0.909,4,1.0,Rap
soak city (do it),779jpZikRmH99DiSVpwCHD,123547,58,True,lottery pick,6X56VpnIYr8WOiCpkXHdEw,album,8,2023-06-15,310babii,4VCriUU9CsPnUvoAsxVk1p,,65,53961,0.861,0.694,9,0.329,-6.358,1,0.327,0.187,0.0658,0.0,0.286,0.257,101.919,0.672,4,1.0,Rap
n.h.i.e.,6x9pCndnXEoea0CMcfjs9W,143718,88,True,american dream,2RRYaYHY7fIIdvFlvgb5vq,album,15,2024-01-12,21 Savage,1URnnhqYAYcrqrcwql10ft,atl hip hop; hip hop; rap,93,16803819,0.818,0.512,5,0.364,-9.056,0,0.431,0.0926,0.093,0.0441,0.11,0.155,131.967,0.606,4,0.856,Rap
Never Lose Me,6uTPdRrEDeH8Fyg5L5qmeU,125901,90,True,Never Lose Me,4K5YnziH8o3NoEsxv8zviL,single,1,2023-11-30,Flo Milli,08PvCOlef4xdOr20jFSTPd,viral rap,74,812357,0.781,0.567,1,0.834,-7.857,1,0.717,0.0969,0.0504,0.0,0.0981,0.0743,121.964,0.582,4,1.0,Rap
Think U The Shit (Fart),4w2Furap0ZzaiK4J14E9sR,141639,74,True,Think U The Shit (Fart),1NEBms3ay8CUHTUzD7wzHO,single,1,2024-01-26,Ice Spice,3LZZPxNDGDFVSIPqf4JuEf,bronx drill,76,2825731,0.967,0.545,9,0.346,-6.647,1,0.374,0.207,0.0403,0.000195,0.0809,0.311,122.101,0.584,4,1.0,Rap
IDGAF (feat. Yeat),2YSzYUF3jWqb9YP9VXmpjE,260111,92,True,For All The Dogs,4czdORdCWP9umpbhFXK2fW,album,23,2023-10-06,Drake,3TVXtAsR1Inumwj472S9r4,canadian hip hop; canadian pop; hip hop; pop rap; rap,96,84302378,0.663,0.67,8,0.67,-8.399,1,0.651,0.271,0.0464,8.92e-05,0.205,0.138,136.952,0.654,4,0.902,Rap
Climate (feat. Offset),1c7MITQmNJTrvfbDSzWT6x,170106,77,True,THE BIGGEST,2EZ8JL3dtb54VXi3k6E7k6,album,7,2023-12-01,BigXthaPlug,6qxpnaukVayrQn6ViNvu9I,southern hip hop,75,392188,0.96,0.749,11,0.004,-3.881,0,0.215,0.251,0.0256,0.0,0.0889,0.703,124.563,0.885,4,0.705,Rap
PISTOL PACCIN,3ScMs95OaNlkrZuRe7gyYa,149449,80,True,Cottonwood 2 (Deluxe 2.0),1ugjPDt5OYUeYmwYkgqEfQ,album,40,2023-10-27,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,memphis hip hop; rap,79,7519347,0.831,0.793,1,0.466,-4.127,1,0.434,0.369,0.0195,0.0,0.259,0.833,144.967,0.759,4,1.0,Rap
Lovin On Me,4xhsWYTOGcal8zt0J161CU,138411,99,True,Lovin On Me,6VCO0fDBGbRW8mCEvV95af,single,1,2023-11-10,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,deep underground hip hop; kentucky hip hop; pop rap; rap,85,3484537,0.943,0.558,2,0.393,-4.911,1,0.392,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,0.776,4,1.0,Rap
Bent,6ulEymrJ2Azx1uo3YHSE5w,170267,80,True,Bent,1lzWtPTZrL3ZE1oagDJgvL,single,1,2023-08-04,41,0yknvLWQZxwsMjhUhwWZQ8,new york drill,65,120630,0.862,0.621,2,0.108,-7.423,1,0.456,0.283,0.379,0.0,0.415,0.239,124.081,0.384,4,1.0,Rap
Shotta Flow 7,1WrxYBGmFK19BMRn3wLYMa,165433,78,True,Shotta Flow 7,1sDAOcqpwOFrDyrIncZn4d,single,1,2023-12-07,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,memphis hip hop; rap,79,7519347,0.943,0.77,2,0.803,-4.665,1,0.667,0.237,0.0056,0.0,0.116,0.219,120.004,0.549,4,0.926,Rap
ONE CALL,69phA1R4gmQsBFRQ3INW8C,121399,79,True,Ghetto Fabulous,2D1j7mjB55lvygjMmYgTYT,album,14,2023-11-17,Rich Amiri,2sF5nNXnrrsCPZlt8ZpyGd,rage rap,68,199264,0.65,0.539,1,0.0,-7.281,1,0.062,0.0561,0.00617,2.67e-05,0.114,0.253,158.105,0.523,4,1.0,Rap
FTCU,1a73gcEg6h6Re6hHXoVltJ,172137,91,True,Pink Friday 2,2bYCNZfxZrTUv1CHXkz2d2,album,22,2023-12-08,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,hip pop; pop; queens hip hop; rap,88,30631762,0.928,0.458,11,0.489,-6.751,1,0.395,0.187,0.0175,0.000446,0.118,0.242,144.995,0.674,4,0.443,Rap
RNS,4b8zFITxLmN0rIbhuj5wub,138856,61,True,RNS,7CRZBxNtX0t4bD3w5zQY78,single,1,2024-01-26,ATL Jacob,7jAs1uPnpfNmT6e5qtEPxq,,76,11358,0.92,0.703,8,0.776,-4.976,1,0.689,0.357,0.00518,0.0,0.0893,0.853,140.012,0.438,4,0.964,Rap
HVN ON EARTH (with Kodak Black),4367dXCt02KMgELPisJ2D4,188870,78,True,HVN ON EARTH,5bHwBaNZKESVBhqCvs4Ify,single,1,2023-08-18,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,melodic rap; pluggnb; rap,81,6891019,0.736,0.645,1,0.458,-5.195,1,0.339,0.0807,0.0724,0.00086,0.136,0.201,132.024,0.577,3,0.053,Rap
Rich Baby Daddy (feat. Sexyy Red & SZA),1yeB8MUNeLo9Ek1UEpsyz6,319191,92,True,For All The Dogs,4czdORdCWP9umpbhFXK2fW,album,23,2023-10-06,Drake,3TVXtAsR1Inumwj472S9r4,canadian hip hop; canadian pop; hip hop; pop rap; rap,96,84302378,0.645,0.729,2,0.193,-4.56,1,0.319,0.0528,0.0377,0.0,0.384,0.142,146.01,0.49,4,0.954,Rap
Bachelor,35gu7pEQ2gOLUvskspCD3Y,241533,74,True,Bachelor,5csXVq16N67kRKWhgUmWpk,single,1,2023-11-03,Turbo,002HSjuWsGMinkXTa7JcRp,,53,17282,0.805,0.63,1,0.622,-6.467,0,0.715,0.174,0.225,0.0,0.204,0.567,129.232,0.755,4,0.969,Rap
Big Dog (with Lil Wayne),4EKfEZ89t2DzU41RbsyFC6,253760,69,True,Big Dog,5N1Y4h6H1fiS7tIL0fPivM,single,1,2023-11-03,Benny The Butcher,5Matrg5du62bXwer29cU5T,alternative hip hop; boom bap; buffalo hip hop; hip hop; upstate ny rap,64,388378,0.646,0.758,2,0.442,-5.673,1,0.33,0.398,0.531,0.0,0.363,0.407,73.318,0.013,4,1.0,Rap
Red Moon,6odqveUIgvpWWvtANLcZpH,171827,76,False,Red Moon,1Qps54HR7OJ8GJsmoRl6ob,single,1,2023-12-27,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,hip hop; melodic rap; philly rap; rage rap; rap,85,16595202,0.554,0.881,2,0.277,-4.176,0,0.425,0.138,0.115,0.0,0.119,0.455,162.032,0.141,4,0.957,Rap
I KNOW ?,6wsqVwoiVH2kde4k4KKAFU,211582,92,True,UTOPIA,18NOKLkZETa4sWwLMIm0UZ,album,19,2023-07-28,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,hip hop; rap; slap house,92,26701144,0.927,0.619,5,0.714,-4.441,0,0.691,0.0539,0.0186,0.0,0.104,0.817,117.995,0.929,4,0.995,Rap
